REGIS Sp. z o.o.	343
Connectis_	342
ARPI Staffing Sp. z o.o.	341
Pepco Poland Spółka z o. o.	341
Trenkwalder Group	341
HRCube sp. z o.o. 	340
Iris Telecommunication Poland Sp. z o. o.	340
MEDI-SEPT Sp. z o.o.  	340
Over Group Spółka z ograniczoną odpowiedzialnością Spółka komandytowa	340
Transgourmet Polska Sp. z o.o.	340
3e Software House	339
CERSANIT S.A.	339
Compensa Dystrybucja Sp. z o.o.	339
Mercedes-Benz Grupa Wróbel	339
Grupa Kapitałowa Polimex Mostostal	338
POLAQUA Sp. z o.o.	338
ROVESE S.A. (CERSANIT S.A.)	338
Veolia Industry Polska Sp. z o.o.	338
Zielona Firma Sp. z o.o.	338
Apotex Polska 	337
BNP Paribas Lease Group Sp. z o.o.	337
MAXI ZOO 	337
Zintegrowane Systemy Techniczne Sp. z o.o.	337
Agro-Perfect sp. z o.o. sp.k.	335
In Job	335
TRW Polska Sp. z o.o.  	335
UNIBEP S.A.	335
Wadwicz Sp. z o.o.	335
CAPITAL SERVICE S.A.	334
